Call_1,Score_1,Call_2,Score_2,Call_3,Score_3,Call_4,Score_4,Final Call
0,2.85,0,5.391304348,1,6.142857143,0,4.785714286,0
1,8.291666667,0,6.086956522,1,6.68,1,7.1,1
1,6.8,0,3.684210526,0,4.142857143,0,3.153846154,0
1,7.8,0,4.157894737,0,5.65,1,7.235294118,0
1,6.7,1,6.75,0,6,0,4.333333333,0
0,5.666666667,0,4.875,0,4.2,0,4.45,0
0,4.3125,0,4.178571429,1,6.65,0,5.25,0
0,5.380952381,1,5.933333333,0,4.384615385,1,6,0
0,4,1,6,0,3.666666667,0,6.0625,0
0,3.857142857,1,9,0,3.35,0,5.666666667,0
0,3.55,1,7.05,0,4.958333333,1,5.72,0
0,3.75,0,5.5,1,5.678571429,0,5,0
0,3.4,0,5.035714286,1,7.875,0,5.2,0
1,8,0,5.35,1,7.466666667,0,6,0
0,5.142857143,1,6.571428571,1,8.444444444,0,2.588235294,0
1,7.107142857,0,5.2,1,7.428571429,0,5.392857143,0
0,3.176470588,0,2.578947368,1,7.48,0,5,0
0,5.368421053,0,3.230769231,1,6.785714286,1,6.444444444,0
1,6,0,4.625,1,6.125,1,7.058823529,1
0,5.68,0,5,0,5.785714286,1,6.416666667,0
1,9,1,5.95,0,3.8,0,4.35,0
0,3.565217391,0,3.3125,1,7.125,0,6.071428571,0
1,6.647058824,0,5.333333333,0,5.642857143,1,5.76,0
0,3.533333333,1,7.3,0,2.875,0,2.739130435,0
1,6.833333333,1,7,0,5.2,0,5.107142857,0
1,5.52173913,0,6.052631579,0,5.214285714,1,5.9375,0
1,7.75,1,6.25,0,5.384615385,1,6.294117647,1
0,4.47826087,1,5.535714286,0,5.714285714,1,5.913043478,0
0,4.107142857,1,5.875,0,5,0,5.44,0
0,3.666666667,0,5.291666667,0,3.75,0,3.375,0
0,3,0,5.066666667,0,5.105263158,0,3,0
0,5.210526316,1,8,0,4,1,7.058823529,0
0,4.533333333,1,7.2,0,6,1,6.84,0
0,3,0,2.2,0,5.4,0,3,0
1,6.7,0,5.058823529,1,5.714285714,1,7.107142857,1
0,4.826086957,1,6.45,0,5.892857143,0,4.434782609,0
0,4.821428571,0,5.583333333,0,-1,1,6.45,0
0,3.217391304,1,6.5,0,2,1,6.607142857,0
0,2.4,1,6.35,1,7,0,5.2,0
0,5.25,0,5.071428571,1,6.625,1,6.526315789,0
0,4.4,0,6,1,7.35,0,3.111111111,0
1,7.178571429,1,6.461538462,0,4.5,0,4.4,0
0,5.666666667,0,4.8125,1,5.733333333,0,5.4,0
1,6.333333333,1,6.416666667,1,7.55,0,6.125,1
0,5.875,1,6.571428571,0,3.92,0,4,0
1,8.333333333,0,4.071428571,0,5.5,0,3.428571429,0
0,5,0,5.3,0,3.7,1,6.857142857,0
0,4.5,1,7,0,5.842105263,0,3.866666667,0
1,5.9,1,6.291666667,0,5.142857143,1,6.428571429,1
0,5.625,1,5.9,0,3.636363636,1,5.535714286,0
1,5.6,0,5,0,4.7,0,5.375,0
0,2.631578947,1,7.304347826,1,7.083333333,0,3.952380952,0
1,5.666666667,0,-1,0,3.266666667,0,3.764705882,0
0,5.25,0,5.45,1,5.588235294,1,6.347826087,0
1,6.8,0,6.2,0,6.0625,1,6.5,0
0,2.5625,0,5.285714286,0,3.92,0,5,0
1,7.041666667,1,7.842105263,1,8,0,5.866666667,1
0,4.142857143,0,4.647058824,0,2.8,1,8.266666667,0
0,5,0,5.208333333,0,3.25,1,7.25,0
1,6.411764706,1,6,1,6,1,7.1875,1
0,5.466666667,1,7.714285714,1,6.535714286,0,5.4,0
0,4.6875,0,4.875,0,4.208333333,0,3.714285714,0
0,3.238095238,0,4.785714286,0,4.285714286,1,7.230769231,0
1,6.392857143,0,3.1,0,4.066666667,0,4.821428571,0
0,4.857142857,0,5.1,1,6.56,1,7.652173913,0
0,5.3,1,6.052631579,0,4.47826087,1,7.333333333,0
1,5.95,1,8.727272727,0,4.8,0,5.48,0
0,3.16,1,5.6,1,7.173913043,1,7.083333333,1
0,5.7,1,6.705882353,1,6.5,0,5.821428571,0
0,4.777777778,0,5.578947368,0,4.916666667,0,5,0
0,6,0,6.095238095,0,4.333333333,0,4.96,0
0,4.7,0,4.583333333,0,5.941176471,0,5,0
0,4.761904762,0,4.25,0,5.36,0,5.421052632,0
1,5.857142857,0,5.142857143,0,5.272727273,1,7,0
0,5.125,1,5.84,0,4.882352941,0,6.066666667,0
0,4,0,4.454545455,0,2,1,6.95,0
0,3.647058824,0,5.1,0,5,1,6.821428571,0
1,5.9,1,6.826086957,1,6.260869565,0,-1,1
0,5.1,1,7.035714286,1,6.6,1,5.6875,1
0,4.5,0,5.142857143,1,6.777777778,1,6.083333333,0
1,8,0,4.823529412,0,5,1,6.958333333,0
1,5.6,1,6.4,0,4,0,3.866666667,0
1,8,1,8.142857143,1,5.8,1,6.090909091,1
1,7.428571429,0,3.75,0,3.333333333,1,7,0
0,3.882352941,1,6.428571429,0,4.260869565,0,5.9375,0
1,6.588235294,0,5.035714286,0,5.652173913,0,4.68,0
0,5.461538462,1,7.761904762,0,5.2,1,6.35,0
0,4.72,1,7.782608696,1,5.739130435,0,5.846153846,0
1,7.125,0,5.2,0,5.04,0,4.8,0
1,6.933333333,1,6.95,0,4.625,1,6.333333333,1
0,5.3,0,5.75,0,4.85,0,5.2,0
0,2.818181818,1,5.777777778,1,6,0,2,0
1,6.75,1,5.526315789,0,5.964285714,1,6.5,1
1,6.6,0,5,0,4.823529412,0,5.823529412,0
1,7.066666667,1,7,1,7,1,5.736842105,1
1,7.846153846,1,7.555555556,0,4.272727273,0,2,0
0,4.695652174,1,6.464285714,0,4.066666667,1,7,0
1,7.166666667,0,5.384615385,0,4.285714286,1,6.75,0
0,4.166666667,0,5.066666667,0,4.833333333,0,6.117647059,0
0,5.4,0,4.75,0,4.928571429,0,3.541666667,0
1,5.535714286,1,7.52,0,5.142857143,1,7.461538462,1
1,5.956521739,0,5.72,1,6.75,0,4,0
1,9,0,5.05,1,6.15,1,7.428571429,1
0,4.666666667,1,6.428571429,1,7,1,6.368421053,1
1,6.583333333,0,4.333333333,1,7.636363636,0,5.375,0
0,6.142857143,0,4.6,1,7.260869565,0,3.535714286,0
0,4.8,1,6.588235294,0,4.45,0,5.071428571,0
1,7.52,0,5.2,1,7.25,0,4.434782609,0
0,2.956521739,0,5.625,0,4.35,0,2.666666667,0
0,4.5,0,4.133333333,0,5.333333333,0,3.428571429,0
0,4.8,0,3.764705882,1,6.75,1,6.04,0
0,4.125,1,6.47826087,0,5.1,0,5.392857143,0
1,6.035714286,0,4,1,7.392857143,1,6.535714286,1
1,7.739130435,1,6.142857143,0,4.4,0,4.956521739,0
0,5.4375,1,7.708333333,0,5.107142857,0,3.25,0
0,5.166666667,0,3.208333333,0,5.75,0,2,0
0,6,1,6.65,1,6.3125,0,4.821428571,0
1,6.523809524,0,3.25,0,5.535714286,1,7.3125,0
0,5.928571429,0,6.133333333,0,5,0,6.142857143,0
1,6.833333333,0,5.6,0,4,0,4.791666667,0
1,7.15,0,4,0,4,0,5.25,0
0,5,1,7.565217391,1,5.8,1,8.416666667,1
1,6.15,0,5.95,0,4,1,6.25,0
0,4.941176471,1,6,1,7.6875,0,4,0
1,5.705882353,1,7.947368421,1,7.85,1,6.416666667,1
0,6,0,5.304347826,0,5.470588235,0,4.55,0
0,5.125,0,4.714285714,0,3.208333333,0,5.178571429,0
1,6.928571429,0,2.428571429,1,8.235294118,0,5.357142857,0
0,5,1,6.96,1,8,0,5.083333333,0
0,4.9,1,6.384615385,0,5.8,0,4.133333333,0
0,4.285714286,0,5.052631579,0,5.3,0,6.08,0
1,7.5,0,4.894736842,0,4.866666667,0,4.666666667,0
1,6.315789474,0,5.708333333,0,4.821428571,1,7.235294118,0
1,5.8125,0,6,0,6.176470588,0,5.821428571,0
0,4.333333333,1,6.25,1,7.333333333,0,4.529411765,0
0,6,1,5.48,0,4.857142857,0,3.304347826,0
1,6.5,1,6.964285714,0,5.56,1,7,1
0,5.066666667,1,5.777777778,0,5.235294118,0,5.458333333,0
1,6.678571429,1,6.642857143,1,9,0,5,1
0,3.4,0,4.1,0,5,0,5.176470588,0
0,3.823529412,0,6.235294118,1,8,0,4.043478261,0
0,4.5,1,7.35,0,4.6,0,2.941176471,0
1,7.5,0,5.28,0,4.608695652,1,6.821428571,0
0,3.5,0,4.45,1,7.76,0,4.1875,0
0,5.464285714,0,5.933333333,1,6.608695652,1,5.583333333,0
0,5.214285714,1,6.304347826,1,7.933333333,0,4.466666667,0
0,2.444444444,0,4.647058824,0,6,0,3.72,0
1,5.64,0,4.263157895,0,5.285714286,0,3.928571429,0
0,4,1,7.107142857,1,7.178571429,0,5.6875,0
0,3.3125,1,6.75,0,4.32,0,4.285714286,0
1,6.333333333,1,7.04,0,4.294117647,0,5.454545455,0
0,4.333333333,1,7.533333333,0,3.84,0,4.92,0
0,3.866666667,0,2.941176471,0,6.043478261,1,6.523809524,0
0,4.85,1,6,0,5.375,1,6.416666667,0
0,3.55,0,5.157894737,0,4.416666667,1,6.25,0
1,6.321428571,0,5.25,0,5.076923077,1,6.666666667,0
0,4.47826087,1,6.464285714,1,7.833333333,1,5.523809524,1
0,5.125,1,7.05,0,5.6875,1,6.782608696,0
1,5.869565217,1,7.958333333,0,5.857142857,0,3,0
0,2.1875,1,7.434782609,1,5.692307692,1,7.166666667,1
1,6.333333333,1,6.214285714,0,3,1,5.842105263,1
0,5.142857143,0,3.894736842,1,6.857142857,0,6.130434783,0
1,7.55,1,7.666666667,1,9,1,6.75,1
0,6.066666667,0,6,0,3.55,0,3.6,0
0,4.5,0,5,1,8.285714286,0,3.3125,0
1,8.181818182,1,7.086956522,1,6.892857143,1,8.7,1
0,4,0,5.923076923,1,6.96,0,5.5,0
0,5.285714286,0,5.208333333,1,7.705882353,1,6.28,0
0,5.391304348,1,6.88,0,4.25,1,8.4,0
1,6.235294118,1,7.392857143,0,3.142857143,0,4.7,0
1,6.869565217,0,4.44,0,2,1,6.333333333,0
1,7,1,5.85,0,5.95,0,3.125,0
1,6.692307692,0,4.15,0,4.892857143,0,5.178571429,0
0,5.15,1,6.285714286,0,2.421052632,0,4.444444444,0
0,5.923076923,1,6.5,0,5.3,0,3.85,0
0,4.4,0,4.833333333,0,3.65,1,6.533333333,0
1,5.636363636,0,6.2,0,4.821428571,0,3.68,0
1,7.238095238,0,5,0,5.583333333,1,8.384615385,0
0,5.125,0,5.076923077,1,7,0,5.9,0
1,6.55,1,6.105263158,0,5.875,0,4.578947368,0
0,5.55,1,6.352941176,0,2,0,5.444444444,0
0,4.2,0,3.125,0,4.652173913,0,4.142857143,0
0,4.25,0,5.464285714,0,5.789473684,0,4.625,0
0,5.1,0,2.941176471,0,2.888888889,0,4.5625,0
0,4.307692308,1,7.545454545,0,3.5,1,6.352941176,0
0,5.3125,0,4.909090909,0,5.214285714,0,5.535714286,0
0,3.842105263,1,6.666666667,0,3.666666667,1,5.777777778,0
0,5.5,1,5.857142857,1,5.727272727,0,6.2,0
1,8.6,0,4.28,0,4.307692308,0,3.857142857,0
0,3.8125,1,5.5,0,5.5,1,7.5625,0
0,3.913043478,0,5.56,0,4.6,0,4.214285714,0
0,5.909090909,0,3.846153846,1,6.5,0,3.210526316,0
1,7.15,1,6.5625,0,4,1,8.5,1
0,5.444444444,0,2.84,0,3,0,3.333333333,0
0,4.789473684,0,3.96,1,7.235294118,1,6.333333333,0
0,2,1,5.928571429,1,6.4375,0,4,0
1,6.727272727,0,6.090909091,0,4.071428571,0,3.9375,0
1,5.529411765,0,4.80952381,0,4.75,0,5.608695652,0
1,7.2,1,6.535714286,1,7.222222222,0,5.15,1
1,7.5,0,4.125,0,4.92,0,4.666666667,0
1,6.80952381,1,6.55,1,7.8125,0,2.65,1
0,4.65,0,5,0,6.166666667,0,3.571428571,0
0,3.533333333,0,4.913043478,0,4.6,1,6.619047619,0
0,3.833333333,0,3.65,0,4.307692308,0,5.4375,0
0,5.571428571,1,6.9,0,3.428571429,1,6.5,0
0,3.1875,1,6.058823529,1,6.416666667,1,6,1
0,4.933333333,1,7.45,0,6.214285714,0,4.7,0
1,7.75,1,6.1,0,3,1,7.176470588,1
0,4.5,1,7.461538462,0,4,1,6.92,0
1,5.8,0,5.535714286,0,4.416666667,1,7.933333333,0
1,7.157894737,0,4,0,4.5,1,7.416666667,0
0,2,1,6.214285714,1,5.916666667,1,6.166666667,1
1,6.769230769,1,7,1,9,0,3.411764706,1
0,4.85,1,5.55,0,5,1,9,0
1,8.615384615,0,5.357142857,0,4.142857143,1,6.357142857,0
1,6.625,1,7.176470588,0,5.25,1,6.95,1
0,2,1,5.941176471,0,3.6,0,3.05,0
0,3.625,0,4.352941176,0,3.95,1,8.380952381,0
1,6.32,1,7.363636364,1,6.5,0,5.464285714,1
0,5.1875,0,4.892857143,0,5.4,0,5.5625,0
0,5.16,1,6.882352941,0,5.52,1,5.75,0
0,5.428571429,0,3.733333333,1,6,0,5,0
1,5.714285714,0,5.375,1,6,0,4.95,0
0,4.9375,0,4.375,1,7.764705882,1,5.705882353,0
0,-1,0,6.142857143,1,6.791666667,1,6.2,0
1,6.65,0,4.035714286,0,4.3,0,4,0
0,3,1,6.391304348,0,3.2,1,8.529411765,0
0,4,0,3.904761905,0,4.8125,0,5,0
0,5.85,0,5.5,1,6.714285714,1,7,0
1,5.904761905,1,9,0,5.083333333,0,4.6875,0
0,4.56,0,-1,1,6.75,1,5.5,0
0,4.708333333,0,4.84,0,4.588235294,0,5.619047619,0
0,4.4,0,4.684210526,0,2,1,7.608695652,0
1,6.583333333,0,4.826086957,1,7.666666667,0,3.84,0
0,4.434782609,0,4.625,1,7.666666667,0,6.173913043,0
0,4.4,0,5.5,0,6,0,4.916666667,0
0,4.64,1,5.608695652,1,8,0,5.2,0
1,8,0,5.411764706,1,6.666666667,0,4.363636364,0
0,5.5,1,7.434782609,1,6.6,1,7.571428571,1
1,7.75,0,5.928571429,1,8,0,3.235294118,0
1,6.25,0,5.178571429,0,4.08,0,5.466666667,0
0,4.464285714,1,6.5625,0,4.071428571,0,4.714285714,0
0,4.55,0,3.666666667,1,6.84,0,4.75,0
1,6.45,0,6.083333333,1,6.846153846,1,6.444444444,1
0,4.5,0,5,1,7.25,1,7.8,0
1,6.5,1,6.8125,0,6.142857143,0,4.8,0
0,4.157894737,0,5.15,1,6.411764706,0,3.607142857,0
0,4.9375,1,7.708333333,0,3.52173913,0,5,0
0,4.833333333,0,2.857142857,0,3.857142857,1,8.5,0
0,4.4,0,5.208333333,1,6.705882353,1,6,0
